,RandomForest,LogisticRegression,SVM
cv_accuracy,0.936170212765958,0.787234042553191,0.876595744680851
accuracy,0.949152542372881,0.830508474576271,0.915254237288136
precision,0.964285714285714,0.851851851851852,0.961538461538462
recall,0.931034482758621,0.793103448275862,0.862068965517241
f1,0.947368421052632,0.821428571428571,0.909090909090909
roc_auc,0.993103448275862,0.936781609195402,0.981609195402299
